date;Albedo
01/01/2020 00:00;0.18
02/01/2020 00:00;0.18
03/01/2020 00:00;0.18
04/01/2020 00:00;0.18
05/01/2020 00:00;0.18
06/01/2020 00:00;0.18
07/01/2020 00:00;0.18
08/01/2020 00:00;0.18
09/01/2020 00:00;0.18
10/01/2020 00:00;0.18
11/01/2020 00:00;0.18
12/01/2020 00:00;0.18
13/01/2020 00:00;0.18
14/01/2020 00:00;0.18
15/01/2020 00:00;0.18
16/01/2020 00:00;0.18002677
17/01/2020 00:00;0.180107055
18/01/2020 00:00;0.180240762
19/01/2020 00:00;0.180427758
20/01/2020 00:00;0.180667833
21/01/2020 00:00;0.180960735
22/01/2020 00:00;0.18130615
23/01/2020 00:00;0.181703708
24/01/2020 00:00;0.182152983
25/01/2020 00:00;0.182653493
26/01/2020 00:00;0.183204702
27/01/2020 00:00;0.183806023
28/01/2020 00:00;0.18445681
29/01/2020 00:00;0.185156363
30/01/2020 00:00;0.185903938
31/01/2020 00:00;0.18669873
01/02/2020 00:00;0.18753989
02/02/2020 00:00;0.18842652
03/02/2020 00:00;0.189357665
04/02/2020 00:00;0.190332333
05/02/2020 00:00;0.191349477
06/02/2020 00:00;0.19240801
07/02/2020 00:00;0.193506798
08/02/2020 00:00;0.19464466
09/02/2020 00:00;0.195820385
10/02/2020 00:00;0.19703271
11/02/2020 00:00;0.198280335
12/02/2020 00:00;0.199561928
13/02/2020 00:00;0.200876115
14/02/2020 00:00;0.202221488
15/02/2020 00:00;0.203596608
16/02/2020 00:00;0.205
17/02/2020 00:00;0.206430163
18/02/2020 00:00;0.207885565
19/02/2020 00:00;0.209364648
20/02/2020 00:00;0.210865827
21/02/2020 00:00;0.212387498
22/02/2020 00:00;0.213928028
23/02/2020 00:00;0.215485765
24/02/2020 00:00;0.217059048
25/02/2020 00:00;0.218646188
26/02/2020 00:00;0.220245485
27/02/2020 00:00;0.221855227
28/02/2020 00:00;0.22347369
01/03/2020 00:00;0.225099142
02/03/2020 00:00;0.226729842
03/03/2020 00:00;0.228364045
04/03/2020 00:00;0.23
05/03/2020 00:00;0.231635955
