id,DAY,TEMPERATURE_MAX,TEMPERATURE_MIN,TEMPERATURE_AVG,WINDSPEED,VAPOR_PRESSURE,PRECIPITATION,ET0,RADIATION
89,20050330,14.1,8.6,11.4,2.6,10.53,2.8,1.74,8715
90,20050331,13.4,7.3,10.3,2.3,10.23,1,1.61,9191
91,20050401,17.6,4.8,11.2,2.9,8.48,0,03.03,19138
92,20050402,19.5,4.4,12,2.8,8.18,0,3.34,19726
93,20050403,17.8,6.9,12.4,2.8,7.68,0,3.13,15890
94,20050404,17.1,6.8,11.9,2.7,08.08,2.4,2.82,14226
95,20050405,13.9,7.1,10.5,2.1,10.13,.8,1.62,8591
96,20050406,15.6,5.5,10.6,3.6,11.58,4.2,1.56,8854
97,20050407,10.4,9.5,9.9,4.7,10.73,9.1,1.39,7156
98,20050408,10.7,4.9,7.8,4.1,7.78,5,2.16,13550
99,20050409,7.1,1.8,4.5,5.7,5.68,0,1.99,10606
100,20050410,11.4,2,6.7,3.8,07.08,.1,1.97,10389
101,20050411,14.7,3.9,9.3,6.2,7.38,0,3.49,20944
102,20050412,15.7,3.5,9.6,3.2,8.28,0,2.6,14794
103,20050413,15.2,6.4,10.8,2.4,9.23,0,2.25,12192
104,20050414,18.2,5.4,11.8,2.9,9.43,4.8,2.8,14634
105,20050415,11.2,5.9,8.6,2.5,09.03,2.3,1.58,8875
106,20050416,7.3,5.5,6.4,4.5,8.98,11.6,01.06,7601
107,20050417,11.3,5.8,8.6,5.3,8.93,.5,1.78,9250
108,20050418,12.1,5.5,8.8,3.1,10.23,4.8,1.36,7905
109,20050419,14.1,3.9,9,3.3,8.58,1.1,2.54,17048
110,20050420,13,3.3,8.1,2.6,8.53,.3,1.87,10930
111,20050421,14.9,5.7,10.3,2.4,8.13,0,2.78,17220
112,20050422,18.1,1.4,9.7,2,6.93,.5,3.3,21937
113,20050423,15.9,8.4,12.2,2.3,11.38,2.8,1.91,9510
114,20050424,15.7,9.7,12.7,2.5,12.13,7.2,1.83,9197
115,20050425,14.7,9.2,12,3.5,10.98,.8,02.08,9761
116,20050426,17.4,7.4,12.4,3.3,11.33,3.8,2.59,14446
117,20050427,16.4,9.2,12.8,2.5,10.83,0,2.59,14306
118,20050428,20.3,7.7,14,1.8,11.58,0,2.48,11906
119,20050429,24.8,10,17.4,1.7,13.33,0,04.01,22610
120,20050430,27.4,10.6,19,1.6,14.08,0,4.4,23657
121,20050501,27.1,12.5,19.8,3.3,12.03,0,5.35,23172
122,20050502,23.6,13.1,18.3,3.6,12.03,1.9,04.09,14463
123,20050503,18.6,12.4,15.5,3.6,12.93,11.3,2.82,12207
124,20050504,15.7,9.3,12.5,3.2,11.58,3,2.19,10919
125,20050505,12,8.5,10.2,3,10.08,1.1,1.88,9610
126,20050506,15.8,6.5,11.2,2.9,10.28,.5,2.43,13677
127,20050507,14,5.3,9.6,3.7,10.18,1.1,1.85,10099
128,20050508,14.9,2.2,8.6,2.2,7.83,.2,2.82,19059
129,20050509,14.9,3.8,9.4,1.9,7.53,0,03.01,20303
130,20050510,15.1,3.7,9.4,3.8,6.83,0,3.79,23817
131,20050511,16.1,2.7,9.4,3.7,7.18,0,3.94,26509
132,20050512,20.8,2.9,11.9,2.8,9.28,2.4,3.85,22846
133,20050513,19.9,11.7,15.8,1.4,14.63,17,2.39,12418
134,20050514,18,12.4,15.2,3,13.33,2.7,2.7,12920
135,20050515,18.4,9.3,13.9,1.9,12.28,1,2.5,12899
136,20050516,16,9.2,12.6,1.7,12.13,2.5,1.98,10505
137,20050517,15.4,6.6,11,3.2,10.38,.1,2.73,15868
138,20050518,14.7,3.4,9,3.1,7.58,0,3.24,20494
139,20050519,19.5,3.8,11.7,1.9,9.58,0,3.78,24917
140,20050520,25,7.4,16.2,2.7,13.08,4.9,4.24,21793
141,20050521,17.9,12.9,15.4,2.3,14.73,10,2.16,10435
142,20050522,15.4,11.1,13.2,2.8,13.28,4.3,1.89,9868
143,20050523,17.7,9.1,13.4,2.6,10.68,.1,3.3,18143
144,20050524,21,5.9,13.5,2.1,10.63,0,4.21,26235
145,20050525,25.7,8.6,17.2,1.8,12.83,0,4.56,24878
146,20050526,28.8,11.2,20,2,15.38,0,5.23,26922
147,20050527,28.8,13.4,21.1,2.8,15.36,0,5.89,28665
148,20050528,28,14,21,2.5,16.19,0,5.57,28576
149,20050529,28.7,14.6,21.6,2.1,18.13,1,05.04,24845
150,20050530,18.8,14.3,16.5,3.2,13.33,1,3.34,15514
151,20050531,20.2,6.7,13.5,2.4,10.08,0,4.13,25318
152,20050601,21.4,8.4,14.9,2.4,10.38,0,4.24,23662
153,20050602,25.2,9.5,17.4,1.7,12.08,0,05.01,28654
154,20050603,26.9,10.6,18.8,2.9,15.58,.8,4.47,20719
155,20050604,19.3,12.2,15.7,2.9,12.03,.1,3.53,16862
156,20050605,19,9.9,14.5,2.4,11.13,.7,3.25,16003
157,20050606,16.5,11.8,14.1,2.2,14.06,5.1,1.91,9977
158,20050607,16.5,8.9,12.7,4,9.63,0,04.03,23893
159,20050608,18.8,5,11.9,3.9,8.53,0,4.45,25384
160,20050609,19.4,7.1,13.3,3.9,8.78,0,4.89,27753
161,20050610,21.3,6.7,14,2.9,8.88,0,4.95,28380
162,20050611,21,8.2,14.6,2.4,10.63,0,3.79,19196
163,20050612,22,6.8,14.4,2.1,10.23,0,4.73,28740
164,20050613,23.6,8.8,16.2,1.7,12.38,1.4,04.06,22627
165,20050614,22.7,13.7,18.2,1.8,14.88,1.6,3.2,15186
166,20050615,22.5,11.2,16.8,2.3,14.03,.1,3.37,16273
167,20050616,23.5,13.9,18.7,1.6,14.98,0,3.44,16417
168,20050617,27.7,13.5,20.6,2.4,16.68,0,5.25,26643
169,20050618,29.6,16.1,22.9,3.3,18.53,0,6.23,29464
170,20050619,31,16.5,23.8,2.6,15.38,0,6.63,29870
171,20050620,32.9,15.8,24.4,1.9,15.58,0,6.35,29198
172,20050621,31.2,16.3,23.8,2.4,18.83,0,5.63,24623
173,20050622,32.2,17,24.6,2.4,17.88,0,6.27,27378
174,20050623,33.6,19,26.3,2.4,18.88,4.4,5.65,22274
175,20050624,32.7,15.7,24.2,2.2,20.18,2.2,5.23,21928
176,20050625,29.5,17.1,23.3,2.4,20.88,2,4.52,19634
177,20050626,30.8,18.2,24.5,2.3,20.93,1.1,5.55,24538
178,20050627,33.9,19.4,26.6,2,20.78,.1,5.61,23043
179,20050628,33.1,17.3,25.2,1.8,20.33,3.1,4.9,20086
180,20050629,26.3,17.6,21.9,2.3,18.58,3.5,3.95,16312
181,20050630,23.1,15.1,19.1,3.5,15.98,2.9,3.61,14758
182,20050701,21.9,13.7,17.8,3.4,13.73,.1,3.72,15345
183,20050702,24.8,15.2,20,1.6,16.93,0,3.21,14456
184,20050703,29.8,14.7,22.3,2.3,17.68,.1,5.49,26238
185,20050704,21.8,16.6,19.2,3.7,14.98,6.2,3.72,14025
186,20050705,21.2,9.9,15.6,2.3,10.98,2.4,04.03,20897
