GRID_NO,LATITUDE,LONGITUDE,ALTITUDE,DAY,TEMPERATURE_MAX,TEMPERATURE_MIN,TEMPERATURE_AVG,WINDSPEED,VAPOR_PRESSURE,PRECIPITATION,ET0,RADIATION,DATE
101094,50.69632,4.56668,130,20160826,28.9,19.0,24.0,2.1,20.33,0.0,3.92,18870,2016-08-26
101094,50.69632,4.56668,130,20160827,33.1,16.8,25.0,2.8,20.97,0.1,4.81,19355,2016-08-27
101094,50.69632,4.56668,130,20160828,24.4,19.7,22.0,4.0,17.1,0.0,4.06,16324,2016-08-28
101094,50.69632,4.56668,130,20160829,21.4,16.2,18.8,3.0,15.7,0.1,2.54,11153,2016-08-29
101094,50.69632,4.56668,130,20160830,23.2,11.3,17.3,1.2,13.2,0.0,2.89,17569,2016-08-30
101094,50.69632,4.56668,130,20160831,25.3,11.8,18.5,2.0,13.7,0.0,3.56,19216,2016-08-31
101094,50.69632,4.56668,130,20160901,22.6,13.0,17.8,2.3,15.3,0.0,2.58,13350,2016-09-01
101094,50.69632,4.56668,130,20160902,23.4,11.9,17.7,2.7,14.5,0.2,2.8,13115,2016-09-02
101094,50.69632,4.56668,130,20160903,23.4,12.8,18.1,3.0,14.2,1.3,3.2,16028,2016-09-03
101094,50.69632,4.56668,130,20160904,19.9,16.4,18.1,5.0,15.8,6.2,2.57,11114,2016-09-04
101094,50.69632,4.56668,130,20160905,21.8,14.6,18.2,2.4,16.0,0.1,2.34,11984,2016-09-05
101094,50.69632,4.56668,130,20160906,23.6,16.5,20.0,1.3,18.4,0.1,2.34,12942,2016-09-06
101094,50.69632,4.56668,130,20160907,25.6,12.6,19.1,1.7,14.7,0.0,3.12,17920,2016-09-07
101094,50.69632,4.56668,130,20160908,26.9,14.8,20.8,3.2,14.7,0.0,4.03,17420,2016-09-08
101094,50.69632,4.56668,130,20160909,23.1,11.6,17.3,1.7,13.0,0.0,2.91,17328,2016-09-09
101094,50.69632,4.56668,130,20160910,25.4,12.4,18.9,2.8,12.9,0.0,3.69,16902,2016-09-10
101094,50.69632,4.56668,130,20160911,23.0,16.7,19.9,1.8,17.1,0.0,2.06,8516,2016-09-11
101094,50.69632,4.56668,130,20160912,28.8,16.6,22.7,1.8,15.9,0.0,3.44,16788,2016-09-12
101094,50.69632,4.56668,130,20160913,31.5,19.0,25.2,2.1,16.5,0.0,3.96,16529,2016-09-13
101094,50.69632,4.56668,130,20160914,30.3,18.0,24.1,1.5,16.6,0.1,3.38,16707,2016-09-14
101094,50.69632,4.56668,130,20160915,26.1,16.3,21.2,2.4,15.9,1.9,3.15,13651,2016-09-15
101094,50.69632,4.56668,130,20160916,21.3,13.7,17.5,3.6,14.9,2.4,2.46,11435,2016-09-16
101094,50.69632,4.56668,130,20160917,19.7,14.0,16.8,1.8,15.6,0.4,1.54,7634,2016-09-17
101094,50.69632,4.56668,130,20160918,19.6,15.6,17.6,2.7,15.4,0.0,1.82,8178,2016-09-18
101094,50.69632,4.56668,130,20160919,20.4,11.4,15.9,1.9,11.4,0.0,2.31,11913,2016-09-19
101094,50.69632,4.56668,130,20160920,19.9,10.4,15.2,1.3,11.6,0.0,2.08,13487,2016-09-20
101094,50.69632,4.56668,130,20160921,20.9,12.9,16.9,1.1,12.6,0.0,1.77,9690,2016-09-21
101094,50.69632,4.56668,130,20160922,21.8,11.2,16.5,1.8,12.1,0.0,2.25,10859,2016-09-22
101094,50.69632,4.56668,130,20160923,20.5,11.7,16.1,1.9,12.6,0.1,2.1,11906,2016-09-23
101094,50.69632,4.56668,130,20160924,23.5,11.3,17.4,3.1,11.9,0.0,3.0,11994,2016-09-24
101094,50.69632,4.56668,130,20160925,22.8,13.3,18.0,4.5,12.6,1.1,3.33,11007,2016-09-25
101094,50.69632,4.56668,130,20160926,17.0,9.1,13.1,1.6,11.3,0.0,1.56,9405,2016-09-26
101094,50.69632,4.56668,130,20160927,22.2,7.7,14.9,2.6,10.4,0.0,2.69,13728,2016-09-27
101094,50.69632,4.56668,130,20160928,22.3,14.8,18.5,5.1,13.1,0.0,3.33,9778,2016-09-28
101094,50.69632,4.56668,130,20160929,19.8,14.3,17.0,5.7,14.4,1.3,2.36,8081,2016-09-29
101094,50.69632,4.56668,130,20160930,17.6,12.3,15.0,3.3,12.7,0.0,1.84,8745,2016-09-30
101094,50.69632,4.56668,130,20161001,18.0,11.8,14.9,2.9,12.5,6.4,1.86,9507,2016-10-01
101094,50.69632,4.56668,130,20161002,14.5,9.8,12.1,5.1,11.5,2.6,1.69,6671,2016-10-02
101094,50.69632,4.56668,130,20161003,17.2,8.0,12.6,2.7,12.2,1.1,1.46,9400,2016-10-03
101094,50.69632,4.56668,130,20161004,14.9,9.2,12.0,3.2,11.7,0.0,1.25,6808,2016-10-04
101094,50.69632,4.56668,130,20161005,13.6,6.2,9.9,3.9,8.1,0.0,1.87,11326,2016-10-05
101094,50.69632,4.56668,130,20161006,12.6,2.3,7.4,3.1,8.5,0.0,1.2,9105,2016-10-06
101094,50.69632,4.56668,130,20161007,12.5,9.2,10.8,2.7,10.8,0.0,1.0,4457,2016-10-07
101094,50.69632,4.56668,130,20161008,14.4,8.5,11.5,2.1,9.2,0.0,1.4,8137,2016-10-08
101094,50.69632,4.56668,130,20161009,12.8,2.5,7.6,1.4,7.9,0.0,1.05,10487,2016-10-09
101094,50.69632,4.56668,130,20161010,13.0,5.7,9.4,1.3,8.7,2.0,1.01,6146,2016-10-10
101094,50.69632,4.56668,130,20161011,11.5,2.0,6.7,1.0,8.4,0.4,0.8,9339,2016-10-11
101094,50.69632,4.56668,130,20161012,8.5,6.2,7.4,3.0,9.8,1.1,0.5,1932,2016-10-12
101094,50.69632,4.56668,130,20161013,11.8,3.4,7.6,4.4,8.2,0.0,1.22,7936,2016-10-13
101094,50.69632,4.56668,130,20161014,12.0,6.4,9.2,2.4,9.6,12.3,0.89,5386,2016-10-14
101094,50.69632,4.56668,130,20161015,15.0,8.9,11.9,3.7,11.2,0.2,1.27,7553,2016-10-15
101094,50.69632,4.56668,130,20161016,20.3,9.4,14.9,3.6,11.6,0.3,2.12,9136,2016-10-16
101094,50.69632,4.56668,130,20161017,16.2,10.4,13.3,2.8,12.3,0.3,1.27,7515,2016-10-17
101094,50.69632,4.56668,130,20161018,13.1,8.8,10.9,4.3,11.0,5.4,1.06,5721,2016-10-18
101094,50.69632,4.56668,130,20161019,10.5,7.3,8.9,4.3,10.2,14.1,0.74,5338,2016-10-19
101094,50.69632,4.56668,130,20161020,12.7,6.8,9.7,3.0,10.6,0.5,0.82,5424,2016-10-20
101094,50.69632,4.56668,130,20161021,10.6,4.8,7.7,1.8,9.0,0.0,0.71,6465,2016-10-21
101094,50.69632,4.56668,130,20161022,11.0,6.0,8.5,1.8,9.2,0.0,0.69,6084,2016-10-22
101094,50.69632,4.56668,130,20161023,7.7,2.0,4.8,2.0,8.5,0.2,0.36,3599,2016-10-23
101094,50.69632,4.56668,130,20161024,11.1,5.7,8.4,1.8,10.6,0.8,0.47,4092,2016-10-24
101094,50.69632,4.56668,130,20161025,12.0,8.3,10.1,1.3,10.4,0.0,0.66,3889,2016-10-25
101094,50.69632,4.56668,130,20161026,13.7,2.4,8.1,1.4,9.4,0.0,0.63,7492,2016-10-26
101094,50.69632,4.56668,130,20161027,13.0,6.4,9.7,3.1,11.8,0.0,0.46,4491,2016-10-27
101094,50.69632,4.56668,130,20161028,12.5,10.5,11.5,3.0,12.2,0.0,0.63,3103,2016-10-28
101094,50.69632,4.56668,130,20161029,15.7,10.6,13.2,1.6,12.4,0.0,0.71,5734,2016-10-29
101094,50.69632,4.56668,130,20161030,14.8,5.0,9.9,1.4,10.5,0.0,0.56,6228,2016-10-30
101094,50.69632,4.56668,130,20161031,16.4,5.9,11.1,1.3,10.8,0.0,0.6,7361,2016-10-31
101094,50.69632,4.56668,130,20161101,14.7,6.4,10.5,1.9,10.9,0.2,0.67,6698,2016-11-01
101094,50.69632,4.56668,130,20161102,10.2,5.5,7.8,3.4,8.7,1.2,0.71,5477,2016-11-02
101094,50.69632,4.56668,130,20161103,10.6,3.6,7.1,2.3,8.8,0.0,0.56,5121,2016-11-03
101094,50.69632,4.56668,130,20161104,9.0,4.2,6.6,4.0,8.0,1.4,0.76,3677,2016-11-04
101094,50.69632,4.56668,130,20161105,9.4,5.3,7.3,4.3,8.5,0.8,0.73,4277,2016-11-05
101094,50.69632,4.56668,130,20161106,6.6,2.8,4.7,5.2,7.5,1.7,0.53,3869,2016-11-06
101094,50.69632,4.56668,130,20161107,5.3,1.4,3.4,2.8,7.4,3.2,0.24,3374,2016-11-07
101094,50.69632,4.56668,130,20161108,4.9,1.1,3.0,2.5,6.9,0.0,0.34,3119,2016-11-08
101094,50.69632,4.56668,130,20161109,4.5,1.4,2.9,3.3,7.4,13.0,0.22,2204,2016-11-09
101094,50.69632,4.56668,130,20161110,8.1,3.4,5.7,4.3,8.4,3.6,0.4,3487,2016-11-10
101094,50.69632,4.56668,130,20161111,3.8,3.2,3.5,2.4,6.8,0.0,0.43,1784,2016-11-11
101094,50.69632,4.56668,130,20161112,5.0,-1.5,1.7,2.2,6.3,1.9,0.32,3606,2016-11-12
101094,50.69632,4.56668,130,20161113,4.9,3.2,4.0,1.5,7.8,0.7,0.29,1621,2016-11-13
101094,50.69632,4.56668,130,20161114,6.0,-0.2,2.9,3.1,7.4,2.1,0.13,3508,2016-11-14
101094,50.69632,4.56668,130,20161115,10.8,4.7,7.7,4.9,11.0,6.7,0.13,1116,2016-11-15
101094,50.69632,4.56668,130,20161116,12.3,10.7,11.5,6.1,12.8,10.6,0.52,1668,2016-11-16
101094,50.69632,4.56668,130,20161117,10.9,9.2,10.1,8.2,10.7,15.5,0.83,2265,2016-11-17
101094,50.69632,4.56668,130,20161118,8.1,6.6,7.3,7.0,8.3,4.0,0.99,2099,2016-11-18
101094,50.69632,4.56668,130,20161119,6.6,4.2,5.4,6.2,7.2,0.2,0.87,2138,2016-11-19
101094,50.69632,4.56668,130,20161120,12.4,4.7,8.5,7.5,9.3,4.4,0.99,3048,2016-11-20
101094,50.69632,4.56668,130,20161121,13.6,9.4,11.5,5.6,11.5,3.0,0.87,2713,2016-11-21
101094,50.69632,4.56668,130,20161122,12.1,9.7,10.9,5.3,9.9,0.2,1.17,2810,2016-11-22
101094,50.69632,4.56668,130,20161123,11.7,7.5,9.6,2.1,10.7,0.1,0.35,2610,2016-11-23
101094,50.69632,4.56668,130,20161124,10.8,7.8,9.3,5.5,9.7,0.0,0.82,3710,2016-11-24
101094,50.69632,4.56668,130,20161125,7.2,2.8,5.0,4.4,7.3,0.0,0.52,4409,2016-11-25
101094,50.69632,4.56668,130,20161126,6.2,2.8,4.5,1.6,7.57,0.0,0.41,1386,2016-11-26
101094,50.69632,4.56668,130,20161127,7.2,0.6,3.9,2.4,7.7,0.2,0.26,2466,2016-11-27
101094,50.69632,4.56668,130,20161128,3.5,0.5,2.0,4.1,5.8,0.0,0.4,4713,2016-11-28
101094,50.69632,4.56668,130,20161129,2.0,-3.9,-1.0,2.3,4.57,0.0,0.21,4945,2016-11-29
101094,50.69632,4.56668,130,20161130,4.1,-4.4,-0.2,2.7,4.5,0.0,0.36,4886,2016-11-30
101094,50.69632,4.56668,130,20161201,5.3,-0.6,2.3,3.0,6.93,0.0,0.25,1719,2016-12-01
101094,50.69632,4.56668,130,20161202,8.5,4.6,6.6,2.4,9.0,0.5,0.32,1829,2016-12-02
101094,50.69632,4.56668,130,20161203,3.9,1.2,2.6,2.9,6.4,0.0,0.26,3625,2016-12-03
101094,50.69632,4.56668,130,20161204,3.3,-3.0,0.1,2.8,4.9,0.0,0.33,4249,2016-12-04
101094,50.69632,4.56668,130,20161205,6.4,-2.8,1.8,1.5,5.57,0.0,0.13,4443,2016-12-05
101094,50.69632,4.56668,130,20161206,9.5,-0.2,4.7,1.9,6.9,0.0,0.3,3731,2016-12-06
101094,50.69632,4.56668,130,20161207,10.8,4.0,7.4,3.5,6.87,0.0,1.0,3155,2016-12-07
101094,50.69632,4.56668,130,20161208,8.5,4.3,6.4,4.7,7.07,0.1,0.89,3084,2016-12-08
101094,50.69632,4.56668,130,20161209,12.6,6.4,9.5,3.8,9.0,0.0,0.86,2767,2016-12-09
101094,50.69632,4.56668,130,20161210,9.0,5.3,7.1,4.5,9.13,2.0,0.42,2220,2016-12-10
101094,50.69632,4.56668,130,20161211,8.5,6.3,7.4,4.0,9.33,0.0,0.39,1990,2016-12-11
101094,50.69632,4.56668,130,20161212,8.3,5.3,6.8,3.1,8.43,1.0,0.44,2213,2016-12-12
101094,50.69632,4.56668,130,20161213,7.3,4.9,6.1,3.5,8.8,0.2,0.35,1237,2016-12-13
101094,50.69632,4.56668,130,20161214,11.8,4.9,8.4,2.4,8.8,0.1,0.38,3761,2016-12-14
101094,50.69632,4.56668,130,20161215,8.7,3.3,6.0,3.4,8.03,0.1,0.31,3506,2016-12-15
101094,50.69632,4.56668,130,20161216,9.4,5.4,7.4,2.5,8.17,0.0,0.5,2428,2016-12-16
101094,50.69632,4.56668,130,20161217,6.2,2.2,4.2,1.8,7.97,0.1,0.21,1234,2016-12-17
101094,50.69632,4.56668,130,20161218,6.5,5.3,5.9,1.9,9.07,0.3,0.3,674,2016-12-18
101094,50.69632,4.56668,130,20161219,6.9,5.4,6.2,2.3,7.73,0.0,0.35,2796,2016-12-19
101094,50.69632,4.56668,130,20161220,4.3,-1.8,1.2,2.4,5.9,0.0,0.16,3333,2016-12-20
101094,50.69632,4.56668,130,20161221,6.4,0.5,3.4,5.5,6.9,7.0,0.42,2974,2016-12-21
101094,50.69632,4.56668,130,20161222,6.6,4.2,5.4,3.0,8.7,1.2,0.24,1237,2016-12-22
101094,50.69632,4.56668,130,20161223,7.1,3.1,5.1,5.3,8.07,1.2,0.28,3110,2016-12-23
101094,50.69632,4.56668,130,20161224,8.1,4.9,6.5,7.1,8.7,0.3,0.47,2561,2016-12-24
101094,50.69632,4.56668,130,20161225,9.4,7.3,8.3,7.5,10.37,1.3,0.44,695,2016-12-25
101094,50.69632,4.56668,130,20161226,10.3,9.2,9.7,5.3,8.83,3.1,1.16,2282,2016-12-26
101094,50.69632,4.56668,130,20161227,7.0,1.2,4.1,2.6,6.83,0.0,0.27,3465,2016-12-27
101094,50.69632,4.56668,130,20161228,1.7,-0.7,0.5,2.0,6.23,0.0,0.16,1407,2016-12-28
101094,50.69632,4.56668,130,20161229,4.1,-4.0,0.1,1.3,5.5,0.1,0.02,4122,2016-12-29
101094,50.69632,4.56668,130,20161230,4.6,-2.4,1.1,2.0,5.5,0.1,0.16,3929,2016-12-30
101094,50.69632,4.56668,130,20161231,-1.8,-3.4,-2.6,2.9,4.9,0.0,0.11,2427,2016-12-31
